name,video_link,pic_link
张惠妹与舞男玩限制级调情 击鼓造型狂野,https://rbv01.ku6.com/ku6_video_cover_vid_220771419.m580x360.jpg,https://rbv01.ku6.com/cd4bseWVYz79ELDrFOy-EQ.mp4
杨幂登封面 展甜美呛辣本色,https://rbv01.ku6.com/ku6_video_cover_vid_230673539.m580x360.jpg,https://rbv01.ku6.com/BZ0ZALgH3HxUTIxUmYWouw.mp4
成龙获纽约亚洲电影节终身成就奖 兴奋比双V,https://rbv01.ku6.com/ku6_video_cover_vid_231933467.m580x360.jpg,https://rbv01.ku6.com/-BSJdgCTWCvwCnAU7lj5zA.mp4
网曝余秋雨妻子疑起诉离婚 四年前曾发声明斥责,https://rbv01.ku6.com/ku6_video_cover_vid_224228886.m580x360.jpg,https://rbv01.ku6.com/bl8ICeMYK_mnta707_fANQ.mp4
张美妮曾志伟亲密照流出 二人深夜同返酒店被拍,https://rbv01.ku6.com/ku6_video_cover_vid_218900319.m580x360.jpg,https://rbv01.ku6.com/ayo4ZZ_V-6jG5IqCqVm40Q.mp4
古巨基谈婚事打太极 胡彦斌则征友无进展,https://rbv01.ku6.com/C7GaiHsS1PWpYu-x6lYQsA.mp4.vframe/000006.jpg,https://rbv01.ku6.com/C7GaiHsS1PWpYu-x6lYQsA.mp4
冯小刚获奖痛哭哽咽 直言对得起自己,https://rbv01.ku6.com/ku6_video_cover_vid_222624800.m580x360.jpg,https://rbv01.ku6.com/bSmJHERxnIFhu2efvqN6yw.mp4
刘晓庆自曝露肩美照 网友：妈妈的年纪姐姐的脸,https://rbv01.ku6.com/ku6_video_cover_vid_229712720.m580x360.jpg,https://rbv01.ku6.com/c5AqecegwT0rklKYem6Fnw.mp4
TVB女星刘俐发声明否认陪睡富商 称与其不熟,https://rbv01.ku6.com/ku6_video_cover_vid_231196948.m580x360.jpg,https://rbv01.ku6.com/c89djHjBOxBYlC2dz46iyw.mp4
刘亦菲代言网游宣传照曝光 犹如仙女下凡,https://rbv01.ku6.com/ku6_video_cover_vid_221589249.m580x360.jpg,https://rbv01.ku6.com/carXNJsmyEGSaCR1m8WgPw.mp4
57岁李坤城“爷孙恋”毁形象 搞丢主持工作,https://rbv01.ku6.com/ku6_video_cover_vid_231919667.m580x360.jpg,https://rbv01.ku6.com/buERKfn_Kyufs2G4wNQJbw.mp4
张雨绮入选外媒戛纳开幕红毯最佳造型,https://rbv01.ku6.com/ku6_video_cover_vid_227717852.m580x360.jpg,https://rbv01.ku6.com/azDY1VUicprLTDM9TP8oag.mp4
孟庭苇曝被节目设陷淘汰 微博怒斥：一场骗局,https://rbv01.ku6.com/ku6_video_cover_vid_235315169.m580x360.jpg,https://rbv01.ku6.com/cDh-I-UgG3oG5qwsHySuNw.mp4
林志颖补办婚礼 曝甜蜜婚照爱妻首出镜,https://rbv01.ku6.com/ku6_video_cover_vid_241724278.m580x360.jpg,https://rbv01.ku6.com/cB3CboPaP-zAIe9pntmj5Q.mp4
刘嘉玲首澄清微博下载事件 称舒淇仍是自己最好朋友,https://rbv01.ku6.com/cfvMuCNuo6gZDhT0E4619w.mp4.vframe/000001.jpg,https://rbv01.ku6.com/cfvMuCNuo6gZDhT0E4619w.mp4
郭美美爆粗口回应余额51亿：5亿我都没有,https://rbv01.ku6.com/ku6_video_cover_vid_230128463.m580x360.jpg,https://rbv01.ku6.com/CErm-3-lKg5AURsH4iJKYA.mp4
李静调侃与杨澜交恶 谁让她比我高瘦,https://rbv01.ku6.com/ku6_video_cover_vid_220945780.m580x360.jpg,https://rbv01.ku6.com/BG116fgA9dweuYXJUlq7Sw.mp4
张雨绮戛纳归来与老公王全安戏水,https://rbv01.ku6.com/ku6_video_cover_vid_230556816.m580x360.jpg,https://rbv01.ku6.com/CdU3VJQQvsYPEk_UYHJGCw.mp4
